ID	Name	NameInSheet	Family	NameInSheets	Glottocode  	 ISO6393	Note
AmamiAsama	Amami Asama	Amami Asama	Japonic	Asama (Tokunoshima)	toku1246	tkn	not in glottolog
AmamiYamatohama	Amami Yamatohama	Amami Yamatohama	Japonic	Yamatohama	sout2954	ams	not in glottolog
AmamiYoron	Amami Yoron	Amami Yoron	Japonic	Mugiya-higashi (Yoron Island)	yoro1243	yox	
Japanese	Japanese	Japanese	Japonic			jpn	
OkinawaShuri	Okinawa Shuri	Okinawa Shuri	Japonic	Shuri (Southern Okinawa) form	shur1243	ryu	
OkinawaYonamine	Okinawa Yonamine	Okinawa Yonamine	Japonic	Yonamine (Nakijin-son, Northern Okinawa)	kuni1268	xug	not in glottolog
OldJapanese	Old Japanese	Old Japanese	Japonic	Old Japanese	oldj1239	ojp	
YaeyamaHatoma	Yaeyama Hatoma	Yaeyama Hatoma	Japonic	Hatoma	hato1238	rys	
YaeyamaIshigaki	Yaeyama Ishigaki	Yaeyama Ishigaki	Japonic	Ishigaki	ishi1240	rys	
Yonaguni	Yonaguni	Yonaguni	Japonic	Yonaguni	yona1241	yoi	
Kohama	Kohama		Japonic	Kohama	koha1246	rys	
Hateruma	Hateruma		Japonic	Hateruma	hate1238	rys	
Hirara	Hirara		Japonic	Hirara	miya1260	mvi	not in glottolog
Ikema	Ikema		Japonic	Ikema	ikem1235	mvi	
Old Shuri	Old Shuri		Japonic	Old Shuri			
Proto-Japonic	Proto-Japonic		Japonic	Proto-Japonic			
Proto-MY	Proto-MY		Japonic	Proto-MY			
Proto-RK	Proto-RK		Japonic	Proto-RK			
Proto-SK	Proto-SK		Japonic	Proto-SK			
Proto-YM	Proto-YM		Japonic	Proto-YM			
Taketomi	Taketomi		Japonic	Taketomi	take1256	rys	
Ogami	Ōgami		Japonic	Ōgami	ogam1239	mvi	
Fukuoka	Fukuoka	Fukuoka	Japonic			jpn	
Hachijo	Hachijo	Hachijo	Japonic		hach1239		
Kagoshima	Kagoshima	Kagoshima	Japonic		sats1242	jpn	same glottocode but different dialect
Koshikiislands	Koshiki islands	Koshiki islands	Japonic		sats1242	jpn	same glottocode but different dialect
